emp_ID,salary,ssn,acct_num,routing_num,address
12345,9.75,123456789,1000100010001,1231231231231,501 W Fell 
12346,9.75,123456790,1100110011001,1231231231232,40 N East
12347,10,123456791,1200120012001,1231231231233,192 Golf View
12348,12,123456792,1300130013001,1231231231234,49 Tiger St
10000,9.75,123456793,1400140014001,1231231231235,120 Fermilab
20000,9.75,123456794,1500150015001,1231231231236,81 Satama
30000,10,123456795,1600160016001,1231231231237,401 Computing
40000,12,123456796,1700170017001,1231231231238,591 Kawishiwi
1,9.75,123456797,1800180018001,1231231231239,102 Sist
2,9.75,123456798,1900190019001,1231231231240,612 Anime St
3,10,123456799,2000200020001,1231231231241,810 N Cowboy
4,12,123456800,2100210021001,1231231231242,312 High Rollers
70,9.75,123456801,2200220022001,1231231231243,192 Dragon Ave
71,9.75,123456802,2300230023001,1231231231244,691 Emori Dr
72,10,123456803,2400240024001,1231231231245,810 Franken Ave
73,12,123456804,2500250025001,1231231231246,29 Toodles St
99999,9.75,123456805,2600260026001,1231231231247,101 Buzz Bean
99998,9.75,123456806,2700270027001,1231231231248,910 Penguin Ave
99997,10,123456807,2800280028001,1231231231249,72 Finch St
99996,12,123456808,2900290029001,1231231231250,101 Webkin Ave
